ItemKey,GenericName,BrandName,DosageStrength,SoldPer,DefaultPurchasePrice,DefaultSellingPrice,IsActive,CanonicalSourceBDM,CanonicalSourceFileID,Notes,LastUpdatedAt
Farsorbid | 10 mg/10 mL | 3RF007  ,Isosorbide ,Farsorbid,10mg/10 mL,vial,370.00,500.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Flucysteine 600 | 600 mg | BW24023,Acetylcysteine,Flucysteine 600,600 mg,sachet,0.00,0.00,FALSE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Gentacare | 80 mg /2 mL | 2403237,Gentamicin,Gentacare,80 mg /mL,ampoule,4.50,30.00,TRUE,Mae Navarro,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,,4/7/2026 17:44:42
Gentacare | 80 mg/2 mL | 2503101,Gentamicin,Gentacare,80 mg/2 mL,ampoule,4.50,35.00,TRUE,Edcel Mae Arespacochaga,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,,4/7/2026 17:44:42
Gentacare | 80 mg/2 mL | 2507609,Gentamicin,Gentacare,80 mg/2 mL,ampoule,4.50,16.00,TRUE,Judy Mae Patrocinio,1i1ehuB0k_2Ca9av9boBjMhaNAyU8rd3JJ7TP4XjVOtU,,4/7/2026 17:44:42
Gentam | 40 mg /mL | 240481,Gentamicin,Gentam,40 mg /mL,ampoule,4.50,30.00,TRUE,Mae Navarro,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,,4/7/2026 17:44:42
GLOMED Latex | LARGE | 092025 4334 0077,LATEX GLOVES,GLOMED Latex,LARGE,Box of 100s,140.00,200.00,TRUE,Roman Mabanag,1L3MURjzhk6j6BYvsPCGYn5Zqy6XAjJmNthqzGx_U-e8,,4/7/2026 17:44:42
Glomed Latex | Medium | 219036396LC2A,Latex Gloves,Glomed Latex,Medium,box of 100s,140.00,180.00,FALSE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
GLOMED Latex | MEDIUM | 219041035LCZA,LATEX GLOVES,GLOMED Latex,MEDIUM,Box of 100s,140.00,200.00,FALSE,Roman Mabanag,1L3MURjzhk6j6BYvsPCGYn5Zqy6XAjJmNthqzGx_U-e8,,4/7/2026 17:44:42
Glomed Latex | Medium | 219042515LCZA,Gloves,Glomed Latex,Medium,Box of 100s,140.00,200.00,TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
Glomed Sterile | 6.5 | 203024445SLZA,Gloves,Glomed Sterile,6.5,pairs,10.00,35.00,TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
Glomed Sterile | 7 | 203024445SLZA,Gloves,Glomed Sterile,7,pairs,9.25,35.00,TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
Glycemet | 500 mg | 240705,Metformin,Glycemet,500 mg,tablet,0.38,5.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Haixone | 1 g | FW10.125E,Ceftriaxone,Haixone,1 g,vial,33.00,300.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Haizure | 100 mg/2 mL | 1324173,Phenytoin Sodium,Haizure,100 mg/2 mL,ampoule,120.00,575.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
HCD Latex | Medium | 09202443190850,Gloves,HCD Latex,Medium,Box of 100s,145.00,200.00,TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
HCD Nitrile | Large | P0060000003035052402,Gloves ,HCD Nitrile,Large,box of 100s,140.00,180.00,TRUE,Mae Navarro,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,,4/7/2026 17:44:42
HCD Nitrile | Large | P00600003365122403,Gloves Nitrile,HCD Nitrile,Large,box of 100s,140.00,200.00,TRUE,Cristina Salila,1bQozgnncxu4dwOtmg3hdATAHxr0dz1p6HhTzWZTMFMw,,4/7/2026 17:44:42
HCD Nitrile | Large | PO0600003365122404,Nitrile Gloves,HCD Nitrile,Large,box of 100s,140.00,180.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
HCD Nitrile | Medium | PO0600003773102503,Nitrile Gloves,HCD Nitrile,Medium,box of 100s,140.00,180.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
HCD Nitrile | SMALL | 11 205 6189 0172,NITRILE GLOVES,HCD Nitrile,SMALL,Box of 100s,135.00,200.00,TRUE,Roman Mabanag,1L3MURjzhk6j6BYvsPCGYn5Zqy6XAjJmNthqzGx_U-e8,,4/7/2026 17:44:42
HCD Nitrile | Small | PO0600003773102502,Nitrile Gloves,HCD Nitrile,Small,box of 100s,140.00,180.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Nuparin | 1000 iu | 1BP25D23,Heparin,Nuparin,1000 iu,vial,70.00,100.00,TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
Hyphen | 50 mg/mL | 230710,Diphenhydramine,Hyphen,50 mg/mL,ampoule,21.00,65.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Hyphen | 50 mg/mL | 240436,Diphenhydramine,Hyphen,50 mg/mL,ampoule,21.00,65.00,TRUE,Judy Mae Patrocinio,1i1ehuB0k_2Ca9av9boBjMhaNAyU8rd3JJ7TP4XjVOtU,,4/7/2026 17:44:42
Kalyx | 2 mEq/20 mL | DRP716103,Potassium Chloride,Kalyx,2 mEq/20 mL,ampoule,25.20,130.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Kelxime | 1 g  | ECEFM24001,Cefotaxime,Kelxime,1 g ,vial,60.00,300.00,TRUE,Romela Shen Herrera,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,,4/7/2026 17:44:42
Kelxime | 1 g | FW10125E,Cefotaxime,Kelxime,1 g,vial,60.00,300.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Kethram | 30 mg/mL | XA3F024,Ketorolac ,Kethram,30 mg/mL,ampoule,16.00,142.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Ketonix | 30 mg/ml | ACF23001,Ketorolac,Ketonix,30 mg/ml,ampoule,30.24,130.00,TRUE,Edcel Mae Arespacochaga,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,,4/7/2026 17:44:42
Khrizvix | 75 mg | CJ0008,Clopidogrel,Khrizvix,75 mg,tablet,1.00,5.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Lazicare | 20 mg/2 mL | 240440,Furosimide,Lazicare,20 mg/2 mL,ampoule,5.50,45.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Liferzin | 250 mg | 2411617,Ampicillin,Liferzin,250 mg,vial,15.00,50.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Losil | 20 mg/ mL | A250560,Hyoscine-n-butylbromide,Losil,20 mg/ mL,ampoule,50.00,120.00,TRUE,Edcel Mae Arespacochaga,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,,4/7/2026 17:44:42
LOSIL | 20 mg/ml | 8241084,HYOSCINE-N BUTYLBROMIDE,LOSIL,20 mg/ml,AMPOULE,115.00,350.00,TRUE,Roman Mabanag,1L3MURjzhk6j6BYvsPCGYn5Zqy6XAjJmNthqzGx_U-e8,,4/7/2026 17:44:42
Losil | 20 mg/mL | A250560,Hyoscine-n-Butylbromide,Losil,20 mg/mL,ampoule,44.00,100.00,TRUE,Jake Montero,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,,4/7/2026 17:44:42
Lozemed Plain | 1.2/ 600 mcg | KSH23014,"2,4- Dichlorobenzyl Alcohol Amylmetacresol",Lozemed Plain,1.2/ 600 mcg,tablet,0.00,0.00,FALSE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
MD-Cid | 20 mg/2mL | 4106,Ranitidine,MD-Cid,20 mg/2mL,ampoule,13.00,85.00,TRUE,Romela Shen Herrera,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,,4/7/2026 17:44:42
MD-Uretic | 20 mg/2mL | 240710,Furosemide,MD-Uretic,20 mg/2mL,ampoule,12.00,45.00,TRUE,Romela Shen Herrera,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,,4/7/2026 17:44:42
Melatonin | 3 mg | SATA22191,Medi -Nite,Melatonin,3 mg,tablet,0.00,0.00,FALSE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Metoclosil | 10 mg/2 mL | 2403139,Metoclopramide,Metoclosil,10 mg/2 mL,ampoule,5.50,45.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
NEOTALIS | 0.5 mg/mL | A240577,NEOSTIGMINE,NEOTALIS,0.5 mg/mL,AMPOULE,59.00,200.00,TRUE,Roman Mabanag,1L3MURjzhk6j6BYvsPCGYn5Zqy6XAjJmNthqzGx_U-e8,,4/7/2026 17:44:42
Neotalis | 0.5 mg/mL | A241162,Neostigmine,Neotalis,0.5 mg/mL,ampoule,59.00,250.00,TRUE,Edcel Mae Arespacochaga,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,,4/7/2026 17:44:42
Neotalis | 0.5 mg/mL | A250861,Neostigmine,Neotalis,0.5 mg/mL,ampoule,58.00,200.00,TRUE,Jake Montero,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,,4/7/2026 17:44:42
Nestle Pre-nan | 400 g,Milk,Nestle Pre-nan,400 g,can,981.00,"1,200.00",TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
Nipple Gel | 30 g | NU08241SR,Nursna,Nipple Gel,30 g,piece,299.33,499.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Noprivex 4000 iu | 0.4 mL | BNI0824056,Enoxaparin,Noprivex 4000 iu,0.4 mL,PFS,350.00,450.00,TRUE,Mae Navarro,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,,4/7/2026 17:44:42
Noprivex 6000 iu | 0.6 mL | BNI0824055,Enoxaparin,Noprivex 6000 iu,0.6 mL,PFS,450.00,600.00,TRUE,Mae Navarro,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,,4/7/2026 17:44:42
Nupira | 4mg/4 mL | L0462318E2,Norepinephrine,Nupira,4mg/4 mL,ampoule,290.00,750.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Nupira | 4 mg/4mL | L0462524E2,Norepinephine,Nupira,4 mg/4mL,ampoule,100.00,750.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Onitaz | 4.5 g | UOT24003,Piperacillin Tazobactam,Onitaz,4.5 g,vial,200.00,720.00,TRUE,Jake Montero,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,,4/7/2026 17:44:42
Ormed Macroset | 20 drops | 420206,Infusion Set,Ormed Macroset,20 drops,piece,17.00,30.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Ormed Microset | 60 drops | 420206,Infusion Set,Ormed Microset,60 drops,piece,17.00,30.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Oxavin | 500 mg | 2507641,Oxacillin,Oxavin,500 mg,vial,19.00,75.00,TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
