,BDM,Territory,SourceSpreadsheetID,ItemKey,GenericName,BrandName,DosageStrength,BatchLotNo,ExpiryDate,SoldPer,StockOnHand,MinimalStock,PurchasePrice,SellingPrice,InventoryValue,IsActive,NearExpiryFlag,StockStatus,Remarks
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Stigmithyl | 500 mcg/mL  | 4RA110,Neostigmine,Stigmithyl,500 mcg/mL ,4RA110,08/01/27,ampoule,40,100,78.40,200.00,"3,136.00",TRUE,REORDER,LOW,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Phytodone | 10 mg/mL | GN5659,Phytomedaione,Phytodone,10 mg/mL,GN5659,05/01/28,ampoule,190,100,14.80,45.00,"2,812.00",TRUE,OK,OK,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,MD-Uretic | 20 mg/2mL | 240710,Furosemide,MD-Uretic,20 mg/2mL,240710,07/01/27,ampoule,509,300,12.00,45.00,"6,108.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Viptriaxone | 1 g | ECFXM24107,Ceftriaxone,Viptriaxone,1 g,ECFXM24107,03/01/29,vial,456,288,35.00,700.00,"15,960.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Viprazole | 40 mg | D650113,Omeprazole,Viprazole,40 mg,D650113,01/01/28,vial,120,50,40.00,450.00,"4,800.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Ampinex | 1 g | 2307624,Ampicillin Sulbactam,Ampinex,1 g,2307624,07/01/26,vial,99,50,30.00,120.00,"2,970.00",TRUE,EXPIRY RISK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Gentacare | 80 mg /mL | 240237,Gentamicin,Gentacare,80 mg /mL,240237,02/01/27,ampoule,230,100,4.50,30.00,"1,035.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Gentam | 40 mg /mL | 240481,Gentamicin,Gentam,40 mg /mL,240481,04/01/27,ampoule,200,100,4.50,30.00,900.00,TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Neostigmine | 0.5 mg /mL | A250861,Neotalis,Neostigmine,0.5 mg /mL,A250861,03/11/29,ampoule,100,50,59.00,200.00,"5,900.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Ceftazivit | 1 g | C240121,Ceftazidime,Ceftazivit,1 g,C240121,06/27/27,vial,20,50,187.00,750.00,"3,740.00",TRUE,REORDER,LOW,
