_id,brand_name,generic_name,dosage_strength,unit_code,selling_price,item_key,vat_status,is_active
69cdfa307d949500267e8cba,"Nupira","Norepinephrine","4mg/4mL",AMPULE,780,Nupira|4mg/4mL,VATABLE,TRUE
69cdfa307d949500267e8cbd,"Onitaz","Piperacillin Tazobactam","4g/500ml",VIAL,720,Onitaz|4g/500ml,VATABLE,TRUE
69cdfa307d949500267e8cc0,"Ormed Macroset","IV Infusion Set","20 Drops",PC,30,Ormed Macroset|20 Drops,VATABLE,TRUE
69cdfa307d949500267e8cc3,"Ormed Microset","IV Infusion Set","60 Drops",PC,30,Ormed Microset|60 Drops,VATABLE,TRUE
69cdfa317d949500267e8cc6,"Oxavin","Oxacillin","500mg",VIAL,75,Oxavin|500mg,VATABLE,TRUE
69cdfa317d949500267e8cc9,"Pantrex","Tranexamic Acid","100mg/ml",AMPULE,160,Pantrex|100mg/ml,VATABLE,TRUE
69cdfa317d949500267e8ccc,"Pantrex","Tranexamic Acid","100mg/mL",AMPULE,160,Pantrex|100mg/mL,VATABLE,TRUE
69cdfa317d949500267e8ccf,"Pantrex","Tranexamic Acid","500mg/ ML",AMPULE,160,Pantrex|500mg/ ML,VATABLE,TRUE
69cdfa317d949500267e8cd2,"Pantrex","Tranexamic Acid","500mg/5ml",VIAL,160,Pantrex|500mg/5ml,VATABLE,TRUE
69cdfa327d949500267e8cd5,"Partners","Surgical Tape","1 Inch X 10 Yards",PC,0,Partners|1 Inch X 10 Yards,VATABLE,TRUE
69cdfa327d949500267e8cd8,"Partners","Ecg Paper","50mm X 30m",ROLL,80,Partners|50mm X 30m,VATABLE,TRUE
69cdfa327d949500267e8cdb,"Partners","Face Mask","Kn 95",PC,10,Partners|Kn 95,VATABLE,TRUE
69cdfa327d949500267e8cde,"Partners 2 Inch X 5 Yards","Elastic Bandage","2 Inch X 5 Yards",PC,0,Partners 2 Inch X 5 Yards|2 Inch X 5 Yards,VATABLE,TRUE
